artist,ID,genre,Location,Start,End,Hotttnesss,Discovery,Familiarity
Jesse McCartney,ARTLC2E1187B98E661,pop,"New York, NY",1999,9999,0.626824,0.627773,0.42904483278457345
The Beach Boys,AR2DGPY1187FB4CECF,pop,"Hawthorne, CA, US",1961,9999,0.820197,0.712356,0.3171470383913602
Jordin Sparks,ARJQJQO1187FB4FD5A,pop,"Phoenix, AZ",2007,9999,0.665294,0.641861,0.40974982074236105
Robbie Williams,ARENMIP1187FB5638D,pop,"Stoke-on-Trent, England, GB",1990,9999,0.723086,0.817733,0.46562489298282067
Lady Gaga,ARX6TAQ11C8A415850,pop,"New York, NY, US",2001,9999,0.842311,0.849291,0.35182178157347743
Alanis Morissette,ARH5FJJ1187FB3F787,pop,"Ottawa, Canada",1985,9999,0.768367,0.784549,0.40271733574042246
Jennifer Lopez,AR7C6G11187B9B4C1E,pop,"New York, N",1999,9999,0.77183,0.810019,0.4122280206309889
Janet Jackson,ART4QZC1187FB51612,pop,"Gary, IN",1973,9999,0.79367,0.851397,0.40927984906946435
Sheryl Crow,AR2C54R1187B993B4C,pop,"Kennett, MO",1987,9999,0.753265,0.741795,0.3948539231236403
Michael Bolton,ARSPVDV1187B996BCA,pop,"New Haven, CT, US",1975,9999,0.65718,0.749628,0.4856972377248142
Beyoncé,AR65K7A1187FB4DAA4,pop,"Houston, TX",2003,9999,0.849711,0.871288,0.35161516492208755
Sting,ARUN2OO1187B9A7BF3,pop,"Wallsend, UK",1981,9999,0.812949,0.78768,0.3584479773034534
Sara Bareilles,ARQ32IT1187FB589D3,pop,"Eureka, CA, US",2002,9999,0.690039,0.758612,0.462073278853607
Jewel,ARW24PI1187B9A6126,pop,"Homer, Alaska",1994,9999,0.670514,0.693424,0.4384012200563081
98 Degrees,ARR9WGA1187B992554,pop,"Los Angeles, CA",2012,9999,0.481828,0.49312,0.42137041244429246
Laura Branigan,AR1SI131187FB39F9F,pop,"Armonk, NY, US",1978,2004,0.452975,0.549664,0.48914486099682764
Stevie B,ARSOYIA11F4C842DA4,pop,"Miami, FL",1987,9999,0.540143,0.555352,0.43584390086356317
Pat Boone,ARO302W1187FB3C3FF,pop,"Nashville, TN",1954,9999,0.569928,0.554834,0.41603125703224697
Belinda Carlisle,ARHKS0J1187B9A4D51,pop,"Hollywood, Los Angeles, CA, US",1978,9999,0.621804,0.595331,0.4103598698163841
Bananarama,ARWILYB1187FB37DFE,pop,"London, England",1979,9999,0.621321,0.579977,0.4001031866065996
Dionne Warwick,AR4PQ891187FB5CA9F,pop,"East Orange, NJ",1962,9999,0.640131,0.61869,0.4132193577747463
Natasha Bedingfield,ARBAW9R1187B98FB6B,pop,"London, UK",2003,9999,0.654918,0.693202,0.45097851204197514
The Bangles,ARDGYV01187B9BA3DD,pop,"Los Angeles, CA",1999,9999,0.664022,0.618084,0.3954964907579342
The Shangri-Las,ARAJPHH1187FB5566A,pop,"New York, NY",1963,1968,0.646298,0.609456,0.4026537844553433
Bee Gees,AR6LKUT1187FB57287,pop,"Redcliffe, Brisbane, Queensland, AU",2009,2012,0.757689,0.727225,0.38307730012790076
George Michael,ARAKARO1187B9A1EB6,pop,"East Finchley, London, England, GB",1981,9999,0.740031,0.684617,0.375644052449043
Usher,ARPDVPJ1187B9ADBE9,pop,"Atlanta, Georgia ",1991,9999,0.791588,0.772679,0.37354392851967166
Dido,ARP8HC01187B9AC42D,pop,"London, England, GB",1995,9999,0.690387,0.650862,0.39617289830642605
Gloria Estefan,AR1TIS71187FB37160,pop,"Miami, FL, US",1977,9999,0.668934,0.642328,0.4072936350626998
Roxette,ARC9Y481187B990259,pop,"Halmstad, Halland, SE",2009,9999,0.68643,0.65247,0.4002205589092629
Nelly Furtado,ARAOYXM1187FB524F6,pop,"Victoria, Canada",1996,9999,0.704537,0.634742,0.3756334455142431
Annie Lennox,ARW9FP41187B98C2A7,pop,"Aberdeen, Scotland",1992,9999,0.712441,0.761972,0.44368640757530586
